Table 2.
        Inverse rank order of probe set signals (as % of wild-type) in pcd3J cerebellum
Gene symbol,Gene title,Probe set name,%a
Pcp2,Purkinje cell protein 2 (L7),1419084_a_at,1.47
Slc1a6,solute carrier family 1 (high affinity aspartate/glutamate transporter)<comma> member 6,1418933_at,2.03
Prkcc,protein kinase C<comma> γ,1455758_at,2.43
Car8,carbonic anhydrase 8,1427482_a_at,2.59
Calb1,calbindin-28K,1456934_at,2.80
Cck,cholecystokinin,1419473_a_at,3.53
Pcp2,Purkinje cell protein 2 (L7),1419085_at,3.86
Gng13,guanine nucleotide binding protein 13<comma> γ,1419414_at,3.88
Gsbs,G substrate,1449240_at,4.12
Stk17b,serine/threonine kinase 17b (apoptosis-inducing),1450997_at,4.29
Calb1,calbindin-28K,1417504_at,5.63
Itpr1,inositol 1<comma>4<comma>5-triphosphate receptor 1,1460203_at,5.72
AI449023,expressed sequence AI449023,1436410_at,5.97
9330118A15Rik,RIKEN cDNA 9330118A15 gene,1456798_at,6.34
Itpr1,inositol 1<comma>4<comma>5-triphosphate receptor 1,1417279_at,6.87
Calb1,calbindin-28K,1448738_at,7.42
Itpka,inositol 1<comma>4<comma>5-trisphosphate 3-kinase A,1424037_at,7.76
Fgf7,fibroblast growth factor 7,1438405_at,8.53
9530056K15Rik,RIKEN cDNA 9530056K15 gene,1457523_at,10.00
AW260253,expressed sequence AW260253,1437137_at,10.88
Car8,carbonic anhydrase 8,1424958_at,12.18
Cacna1g,calcium channel<comma> voltage-dependent<comma> T type<comma> α1G subunit,1423365_at,12.51
Gria1,glutamate receptor<comma> ionotropic<comma> AMPA1 (α1),1435239_at,13.23
Car8,carbonic anhydrase 8,1457904_at,13.36
LOC381112,hypothetical gene supported by AK053944,1458753_at,13.77
Gria1,glutamate receptor<comma> ionotropic<comma> AMPA1 (α1),1448972_at,13.96
Doc2b,double C2<comma> β,1420667_at,14.08
Icmt,isoprenylcysteine carboxyl methyltransferase,1426500_at,14.11
AW260253,expressed sequence AW260253,1436948_a_at,14.97
6530413N01Rik,RIKEN cDNA 6530413N01 gene,1453060_at,15.17
Gdf10,growth differentiation factor 10,1424007_at,15.25
Nrk,Nik-related kinase,1450079_at,15.83
D330017J20Rik,RIKEN cDNA D330017J20 gene,1433847_at,16.25
Casq2,calsequestrin 2,1422529_s_at,16.36
6230425F05Rik,RIKEN cDNA 6230425F05 gene,1437209_at,16.75
Garnl3,GTPase activating RANGAP domain-like 3,1433553_at,17.04
Pcp4,Purkinje cell protein 4,1460214_at,17.08
Prkcc,protein kinase C<comma> γ,1421446_at,17.86
6430601K09Rik,RIKEN cDNA 6430601K09 gene,1436087_at,18.98
,CDNA clone IMAGE:6432820<comma> partial cds,1436066_at,19.00
Kitl,kit ligand,1415855_at,20.43
C130078N17Rik,RIKEN cDNA C130078N17 gene,1455080_at,20.61
Stk17b,serine/threonine kinase 17b (apoptosis-inducing),1423452_at,20.67
Itih3,inter-α trypsin inhibitor<comma> heavy chain 3,1449123_at,20.75
Trpc3,transient receptor potential cation channel<comma> subfamily C<comma> member 3,1417577_at,21.03
Kcnip1,Kv channel-interacting protein 1,1448459_at,21.41
F2r,coagulation factor II (thrombin) receptor,1437308_s_at,21.65
Inpp5a,inositol polyphosphate-5-phosphatase A,1433605_at,21.86
9530059O14Rik,RIKEN cDNA 9530059O14 gene,1441197_at,22.05
,Adult male diencephalon cDNA<comma> RIKEN full-length enriched library<comma> clone:9330188N17 product: unknown EST<comma> full insert sequence,1429166_s_at,23.07
